company_name,address,phone_number,website,email
KALPATARU COMPLEX,"18, CP Ramaswamy Iyer Rd, Sriram Colony, Alwarpet, Chennai, Tamil Nadu 600018",N/A,N/A,N/A
Kalpataru- The House of Homoeopathy,"16, Srinivasa Reddy St, T Nagar, Kannammapet, CIT Nagar, Chennai, Tamil Nadu 600017",099404 70444,N/A,N/A
Kalpataru Global Alloys P Ltd,"No: 6, Chandrappa Mudali Street, Opp Elephant Gate Police Station, Sowcarpet, Chennai, Tamil Nadu 600001",087545 30570,N/A,N/A
Kalpatharu Apartments,"23, Postal Colony 2nd St, Postal Colony, West Mambalam, Chennai, Tamil Nadu 600033",N/A,N/A,N/A
Yuga Kalpataru apartment,"23, Postal Colony 2nd St, Postal Colony, West Mambalam, Chennai, Tamil Nadu 600033",N/A,N/A,N/A
Kalpataru apartments,"20, 46, 4th Main Rd, Raja Annamalai Puram, Chennai, Tamil Nadu 600028",N/A,N/A,N/A
Kalpataru Industrial Needs,"101A, Railway Station Rd, near Tiny Sector, Periyar Nagar, Kasturi Nagar, Korattur, Chennai, Tamil Nadu 600080",093611 44848,http://www.kalpataruindustrialneeds.com/,N/A
PUSHKAR'S KALPATARU,"101A, Railway Station Rd, near Tiny Sector, Periyar Nagar, Kasturi Nagar, Korattur, Chennai, Tamil Nadu 600080",093611 44848,http://www.kalpataruindustrialneeds.com/,N/A
Kalptaru Industries,"Survey No. 30/2, Toll Gate, near Perumal temple, near space and style interior, Chettiyar Agaram, Porur, Chennai, Adayalampattu, Tamil Nadu 600077",080 4896 1840,http://www.kalptaruindustries.in/,N/A
Kalpataru Education and Empowerment Tust,"26XR+M3P, Thirumalai Pillai Rd, Rama Kamath Puram, T. Nagar, Chennai, Tamil Nadu 600017",N/A,N/A,N/A
Ramaniyam Kalpataru,"26R6+XVH, 19th Ave, Sector 10, Sivalingapuram, Ashok Nagar, Chennai, Tamil Nadu 600083",N/A,http://www.ramaniyam.com/,N/A
MM KALPATARU,"X695+H3F, Cauvery St, Puludivakkam, Annai Theresa Nagar, Madipakkam, Chennai, Tamil Nadu 600091",N/A,N/A,N/A
KALPATHARU CHEMICALS,"PLOT NO. 9A, CAMP, NO. 12, AMBATTUR, Ambattur Red Hills Rd, near POPPILI RAJA GOVERNMENT SCHOOL, Puzhal, Chennai, Tamil Nadu 600066",044 2659 0888,https://www.kalpatharuchemicals.com/,N/A
KALPTARU ENTERPRISE,"No.7, Telegraph Abboy Street, Kondithope, George Town, Chennai, Tamil Nadu 600001",073970 98708,N/A,N/A
Nahar Kalpataru,"25/12, Dr Radhakrishna Nagar Main Rd, L.I.C Colony, Adyar, Chennai, Tamil Nadu 600041",N/A,N/A,N/A
Kalpataru Polysters,"21, 4th Street, Kodungaiyur, Venkateswara Colony, Madhavaram Milk Colony, Chennai, 600118",N/A,N/A,N/A
Kalpataru Labour camp,"35FC+6CR, Nolambur, Chinna Nolambur, Chennai, Tamil Nadu 600095",N/A,N/A,N/A
"H block, Wing 1, Yuga Kalpataru Apartment","Block-K, YUGA KALPATARU APARTMENT, Padi Kuppam, Koyambedu, Chennai, Tamil Nadu 600107",N/A,N/A,N/A
Kalpatharu Apartment,"5, 4th Main Rd, Dhandeeswaram, Velachery, Chennai, Tamil Nadu 600042",N/A,N/A,N/A
Kalpataru,"Thiruvalluvar Nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041",N/A,N/A,N/A
Sri Hari Developers- Project Kalpataru,"Plot No.10, Anna St, Vivekananda Nagar,, Vivekananda Nagar, TNHB Mig V Block, Avadi, Tamil Nadu 600054",N/A,http://www.sriharidevelopers.co.in/,N/A
"H block, Wing II, Yuga Kalpataru Apartments","YUGA KALPATARU APARTMENT, 76, Anna St, Padi Kuppam, Koyambedu, Chennai, Tamil Nadu 600107",N/A,N/A,N/A
Kalpataru Health Initiatives,"No.14, 2nd Floor Door No.31/14, Saena Circle, 31, Duraisamy St, Tirumurthy Nagar, T. Nagar, Chennai, Tamil Nadu 600001",N/A,N/A,N/A
Kalpataru Spices And Dry Fruits,"111, 55, Varadha Muthiyappan St, Sowcarpet, Kothwal Chavadi, George Town, Chennai, Tamil Nadu 600001",091765 88730,N/A,N/A
Kalpataru Arts And Crafts,"111, 55, Varadha Muthiyappan St, Sowcarpet, Kothwal Chavadi, George Town, Chennai, Tamil Nadu 600001",091765 88730,N/A,N/A
